user,level,department,knowledge,knowledge2,knowledge3,sername,email,password,smtp,active
user1,1,CEO,MANAGEMENT,STRATEGY,MANAGEMENT,user1_1_CEO,user1_1_CEO@eknowedge.com,user1_1_CEO,192.168.1.108,Y
user2,0,STEERING,MANAGEMENT,STRATEGY,TECHNOLOGY,user2_0_STEERING,user2_0_STEERING@eknowedge.com,user2_0_STEERING,192.168.1.109,Y
user3,0,STEERING,MANAGEMENT,STRATEGY,OPERATIONS,user3_0_STEERING,user3_0_STEERING@eknowedge.com,user3_0_STEERING,192.168.1.110,Y
user4,0,STEERING,MANAGEMENT,STRATEGY,SALES,user4_0_STEERING,user4_0_STEERING@eknowedge.com,user4_0_STEERING,192.168.1.111,Y
user5,0,STEERING,MANAGEMENT,STRATEGY,MARKETING,user5_0_STEERING,user5_0_STEERING@eknowedge.com,user5_0_STEERING,192.168.1.112,Y
user6,0,STEERING,MANAGEMENT,STRATEGY,SUPPORT,user6_0_STEERING,user6_0_STEERING@eknowedge.com,user6_0_STEERING,192.168.1.113,Y
user7,0,STEERING,MANAGEMENT,STRATEGY,STRATEGY,user7_0_STEERING,user7_0_STEERING@eknowedge.com,user7_0_STEERING,192.168.1.114,Y
user8,0,STEERING,MANAGEMENT,STRATEGY,PROVIDERS,user8_0_STEERING,user8_0_STEERING@eknowedge.com,user8_0_STEERING,192.168.1.115,Y
user9,0,STEERING,MANAGEMENT,STRATEGY,MANAGEMENT,user9_0_STEERING,user9_0_STEERING@eknowedge.com,user9_0_STEERING,192.168.1.116,Y
user10,-1,TECHNOLOGY,TECHNOLOGY,TECHNOLOGY,TECHNOLOGY,user10_-1_TECHNOLOGY,user10_-1_TECHNOLOGY@eknowedge.com,user10_-1_TECHNOLOGY,192.168.1.117,Y
user11,-1,OPERATIONS,OPERATIONS,OPERATIONS,OPERATIONS,user11_-1_OPERATIONS,user11_-1_OPERATIONS@eknowedge.com,user11_-1_OPERATIONS,192.168.1.118,Y
user12,-1,SALES,SALES,SALES,SALES,user12_-1_SALES,user12_-1_SALES@eknowedge.com,user12_-1_SALES,192.168.1.119,Y
user13,-1,MARKETING,MARKETING,MARKETING,MARKETING,user13_-1_MARKETING,user13_-1_MARKETING@eknowedge.com,user13_-1_MARKETING,192.168.1.120,Y
user14,-1,SUPPORT,SUPPORT,SUPPORT,SUPPORT,user14_-1_SUPPORT,user14_-1_SUPPORT@eknowedge.com,user14_-1_SUPPORT,192.168.1.121,Y
user15,-1,STRATEGY,STRATEGY,STRATEGY,STRATEGY,user15_-1_STRATEGY,user15_-1_STRATEGY@eknowedge.com,user15_-1_STRATEGY,192.168.1.122,Y
user16,-1,PROVIDERS,PROVIDERS,PROVIDERS,PROVIDERS,user16_-1_PROVIDERS,user16_-1_PROVIDERS@eknowedge.com,user16_-1_PROVIDERS,192.168.1.123,Y
user17,-2,TECHNOLOGY,TECHNOLOGY,TECHNOLOGY,TECHNOLOGY,user17_-2_TECHNOLOGY,user17_-2_TECHNOLOGY@eknowedge.com,user17_-2_TECHNOLOGY,192.168.1.124,Y
user18,-2,TECHNOLOGY,TECHNOLOGY,TECHNOLOGY,TECHNOLOGY,user18_-2_TECHNOLOGY,user18_-2_TECHNOLOGY@eknowedge.com,user18_-2_TECHNOLOGY,192.168.1.125,Y
user19,-2,TECHNOLOGY,TECHNOLOGY,TECHNOLOGY,TECHNOLOGY,user19_-2_TECHNOLOGY,user19_-2_TECHNOLOGY@eknowedge.com,user19_-2_TECHNOLOGY,192.168.1.126,Y
user20,-2,OPERATIONS,OPERATIONS,OPERATIONS,OPERATIONS,user20_-2_OPERATIONS,user20_-2_OPERATIONS@eknowedge.com,user20_-2_OPERATIONS,192.168.1.127,Y
user21,-2,OPERATIONS,OPERATIONS,OPERATIONS,OPERATIONS,user21_-2_OPERATIONS,user21_-2_OPERATIONS@eknowedge.com,user21_-2_OPERATIONS,192.168.1.128,Y
user22,-2,OPERATIONS,OPERATIONS,OPERATIONS,OPERATIONS,user22_-2_OPERATIONS,user22_-2_OPERATIONS@eknowedge.com,user22_-2_OPERATIONS,192.168.1.129,Y
user23,-2,SALES,SALES,SALES,SALES,user23_-2_SALES,user23_-2_SALES@eknowedge.com,user23_-2_SALES,192.168.1.130,Y
user24,-2,SALES,SALES,SALES,SALES,user24_-2_SALES,user24_-2_SALES@eknowedge.com,user24_-2_SALES,192.168.1.131,Y
user25,-2,SALES,SALES,SALES,SALES,user25_-2_SALES,user25_-2_SALES@eknowedge.com,user25_-2_SALES,192.168.1.132,Y
user26,-2,MARKETING,MARKETING,MARKETING,MARKETING,user26_-2_MARKETING,user26_-2_MARKETING@eknowedge.com,user26_-2_MARKETING,192.168.1.133,Y
user27,-2,MARKETING,MARKETING,MARKETING,MARKETING,user27_-2_MARKETING,user27_-2_MARKETING@eknowedge.com,user27_-2_MARKETING,192.168.1.134,Y
